Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.1875,-0.375,-0.05029297,0.003417969,0.9829102,0.08984375,-0.112793,-0.3139648
-0.9375,0.0625,-0.1875,-0.02685547,0.02685547,0.9829102,0.08984375,-0.112793,-0.3139648
-0.8125,-0.125,-0.125,-0.03857422,0.01904297,0.9711914,0.08984375,-0.112793,-0.3139648
-0.6875,-0.125,-0.625,-0.05419922,0.01513672,0.9946289,0.08984375,-0.112793,-0.3139648
-1.0625,-0.375,0,-0.04248047,0.01513672,0.9555664,0.08984375,-0.112793,-0.3139648
-1.0625,-0.5,-0.375,-0.03857422,0,0.9672852,0.08984375,-0.112793,-0.3139648
-1.125,-0.75,-0.5,-0.02294922,0.007324219,0.9594727,0.08984375,-0.112793,-0.3139648
-0.75,-0.3125,0,-0.04638672,-0.007324219,0.9594727,0.09423828,-0.1118164,-0.3081055
-0.3125,-0.6875,-0.1875,-0.02685547,0.01513672,0.9829102,0.09423828,-0.1118164,-0.3081055
0,-1.0625,-0.375,-0.05419922,0.01123047,0.9829102,0.09423828,-0.1118164,-0.3081055
-0.25,-0.6875,-0.625,-0.04248047,-0.003417969,0.9946289,0.08984375,-0.1069336,-0.3095703
-0.5,-0.5,-0.625,-0.03857422,0.01123047,0.9829102,0.08984375,-0.1069336,-0.3095703
0,-0.4375,-0.5625,-0.02294922,0,0.9672852,0.08984375,-0.1069336,-0.3095703
-0.125,-0.125,-0.3125,-0.05419922,0.01513672,0.9829102,0.08984375,-0.1069336,-0.3095703
0.0625,-0.6875,-1,-0.03466797,0.01123047,0.9711914,0.08984375,-0.1069336,-0.3095703
0,0,-0.375,-0.02294922,0,0.9829102,0.08984375,-0.1069336,-0.3095703
0.0625,-0.5,-0.375,-0.05419922,0.007324219,0.9750977,0.08984375,-0.1069336,-0.3095703
-0.1875,0.5,-0.125,-0.03857422,0.003417969,0.9750977,0.09179688,-0.112793,-0.3139648
-0.125,0.125,0.0625,-0.04638672,0.01513672,0.9438477,0.09179688,-0.112793,-0.3139648
0.0625,0,-0.8125,-0.02294922,0.01513672,0.9672852,0.09179688,-0.112793,-0.3139648
-0.1875,-0.125,-0.5625,-0.04638672,0,0.9750977,0.08984375,-0.112793,-0.3110352
-0.25,0,-0.3125,-0.04638672,0.007324219,0.9868164,0.08984375,-0.112793,-0.3110352
0.3125,-0.5,-0.375,-0.04638672,0.007324219,0.9790039,0.08984375,-0.112793,-0.3110352
0.125,-0.125,0,-0.03076172,0,0.9633789,0.09082031,-0.112793,-0.3125
-0.1875,-0.25,-0.625,-0.03857422,-0.007324219,0.9829102,0.09082031,-0.112793,-0.3125
-0.3125,-0.5,-0.125,-0.01904297,0,0.9829102,0.09082031,-0.112793,-0.3125
0,-0.5,0.0625,-0.06591797,0.003417969,0.9711914,0.09082031,-0.112793,-0.3125
-0.5625,0,0.1875,-0.04248047,0.01123047,0.9672852,0.08251953,-0.1152344,-0.3178711
-0.3125,-0.6875,0,-0.05810547,0.007324219,0.9829102,0.08251953,-0.1152344,-0.3178711
0,-1,-0.5,-0.03466797,0.01123047,0.9711914,0.08251953,-0.1152344,-0.3178711
-0.375,-1.125,-0.0625,-0.03857422,0.01513672,0.9829102,0.08984375,-0.1118164,-0.3193359
-0.5,-0.8125,-0.4375,-0.04248047,0.01123047,0.9829102,0.08984375,-0.1118164,-0.3193359
-0.75,-0.8125,-0.125,-0.04638672,0.03076172,0.9829102,0.08984375,-0.1118164,-0.3193359
-0.3125,-1.125,-0.125,-0.05419922,0.007324219,0.9516602,0.08837891,-0.1118164,-0.3154297
-0.6875,-0.3125,-0.3125,-0.05810547,-0.01904297,0.9672852,0.08837891,-0.1118164,-0.3154297
-0.375,-1.5625,-0.1875,-0.03857422,0.003417969,0.9829102,0.08837891,-0.1118164,-0.3154297
-0.1875,-0.875,-0.0625,-0.04638672,0.01123047,0.9477539,0.08837891,-0.1118164,-0.3154297
0.25,-1.25,-0.5,-0.01513672,0.01123047,0.9829102,0.09082031,-0.1118164,-0.3125
-0.8125,-0.9375,-0.0625,-0.03857422,0.01123047,0.9829102,0.09082031,-0.1118164,-0.3125
-0.4375,-0.75,0,-0.05810547,0,0.9711914,0.09082031,-0.1118164,-0.3125
-0.375,-1,-0.1875,-0.04248047,0.007324219,0.9633789,0.09082031,-0.112793,-0.3071289
-0.375,-1.375,-0.0625,-0.03857422,0.02294922,0.9946289,0.09082031,-0.112793,-0.3071289
-0.375,-0.9375,0.25,-0.04248047,0.007324219,0.9868164,0.09082031,-0.112793,-0.3071289
-0.5,-1.125,-0.5625,-0.04248047,0.01513672,0.9829102,0.09667969,-0.1142578,-0.3125
-0.875,-1.625,-0.1875,-0.03857422,-0.003417969,0.9594727,0.09667969,-0.1142578,-0.3125
-0.8125,-1.25,0.0625,-0.01513672,0,0.9711914,0.09667969,-0.1142578,-0.3125
-0.8125,-1.4375,0,-0.03466797,-0.003417969,0.9829102,0.09667969,-0.1142578,-0.3125
-0.875,-1.625,0.0625,-0.05029297,0.03466797,0.9829102,0.09667969,-0.1142578,-0.3125
-0.3125,-2.0625,0.0625,-0.01513672,0,0.9672852,0.09667969,-0.1142578,-0.3125
-1.125,-1.9375,0.1875,-0.04638672,0,0.9711914,0.09667969,-0.1142578,-0.3125
-1.3125,-1.375,0.4375,-0.03076172,0.003417969,0.9711914,0.09423828,-0.1035156,-0.3168945
-1.1875,-1.8125,0.25,-0.04638672,0.007324219,0.9829102,0.09423828,-0.1035156,-0.3168945
-0.875,-1.75,0.0625,-0.04248047,0.01123047,0.9672852,0.09423828,-0.1035156,-0.3168945
-1.3125,-2,0.5,-0.03076172,0.01513672,0.9555664,0.08984375,-0.1142578,-0.3193359
-1.125,-1.4375,0.3125,-0.04638672,0.003417969,0.9711914,0.08984375,-0.1142578,-0.3193359
-0.75,-1.6875,0.4375,-0.03466797,-0.007324219,0.9672852,0.08984375,-0.1142578,-0.3193359
-0.875,-2.3125,0.6875,-0.04638672,0.003417969,0.9711914,0.08984375,-0.1142578,-0.3193359
-1.4375,-2.5,0.4375,-0.01123047,-0.003417969,0.9711914,0.08984375,-0.1142578,-0.3193359
-0.6875,-1.625,0.5,-0.02685547,0.003417969,0.9555664,0.08984375,-0.1142578,-0.3193359
-1.5,-2.25,0.4375,-0.02685547,0.01123047,0.9711914,0.08984375,-0.1142578,-0.3193359
0,-1.1875,0.5,-0.01513672,0.007324219,0.9790039,0.09521484,-0.1118164,-0.3168945
-0.75,-2.0625,0.375,-0.01123047,0.02685547,0.9829102,0.09521484,-0.1118164,-0.3168945
-0.3125,-1.4375,0.375,-0.04638672,0.01123047,0.9829102,0.09521484,-0.1118164,-0.3168945
-0.6875,-0.375,0.1875,-0.02294922,0.01123047,0.9711914,0.09179688,-0.1083984,-0.3095703
0,-1,0,-0.02685547,0.007324219,0.9555664,0.09179688,-0.1083984,-0.3095703
-0.125,-0.9375,-0.125,-0.02685547,0.01513672,0.9672852,0.09179688,-0.1083984,-0.3095703
-0.3125,-0.125,-0.125,-0.03076172,0.003417969,0.9868164,0.09082031,-0.1069336,-0.3193359
0.0625,-0.0625,0.0625,-0.01513672,-0.007324219,0.9594727,0.09082031,-0.1069336,-0.3193359
0.1875,-0.4375,-0.25,-0.01513672,0.007324219,0.9829102,0.09082031,-0.1069336,-0.3193359
0.5,-0.375,-0.25,-0.03076172,0.007324219,0.9750977,0.09082031,-0.1069336,-0.3193359
0,-0.1875,-0.1875,-0.03466797,0.01513672,0.9711914,0.08740234,-0.1083984,-0.3125
